AuthorID,BookID,Author Name,Biography,Date of Birth
default,310180IT,Matthew,default,default
default,310164AB,Suzanne Collins,default,default
default,310185YU,Haruichi Furudate,default,default
default,310172XC,Furudate,default,default
default,310125PZ,Janelle,default,default
default,310129IL,wwwwrw,default,default
default,310139OL,yryryryry,default,default
default,310155YY,yryryryry,default,default
default,310161LU,yryryryry,default,default
default,310165VW,yryryryry,default,default
default,310171IS,yryryryry,default,default
default,310175SN,yryryryry,default,default
default,310183OE,fgfgfg,default,default
default,310138WO,fjhjjjjj,default,default
default,310155GM,iiiiiiiiii,default,default
default,310105KT,ddddddddddddd,default,default
default,310183OT,ddddddddddddd,default,default
default,310184DJ,arg1,default,default
default,310186MO,etttet,default,default
default,310196KQ,vvvvvvvvvvvvvvvv,default,default
default,310193XP,vvdvddv,default,default
default,310159AY,hhhhhhhhhffffffff,default,default
default,310166VM,,default,default
