PublisherID,BookID,Publisher Name,Publication Date,Location
default,310180IT,Penguin,default,default
default,310164AB,Puffin,default,default
default,310185YU,Viz Media,default,default
default,310172XC,Viz Media,default,default
default,310125PZ,Yoobee,default,default
default,310129IL,wrwrwrwrwrwr,default,default
default,310139OL,wrwrwrwrwrwr,default,default
default,310155YY,wrwrwrwrwrwr,default,default
default,310161LU,wrwrwrwrwrwr,default,default
default,310165VW,wrwrwrwrwrwr,default,default
default,310171IS,wrwrwrwrwrwr,default,default
default,310175SN,wrwrwrwrwrwr,default,default
default,310183OE,fgfg,default,default
default,310138WO,jjjjjjf,default,default
default,310155GM,iiiiiiii,default,default
default,310105KT,ddddddddddddd,default,default
default,310183OT,ddddddddddddd,default,default
default,310184DJ,arg1,default,default
default,310186MO,etttet,default,default
default,310196KQ,vvvvvvvvvvvvvvvv,default,default
default,310193XP,vvdvddv,default,default
default,310159AY,hhhhhhhhhffffffff,default,default
default,310166VM,,default,default
