AuthorID,BookID,Author Name,Biography,Date of Birth
<<<<<<< HEAD
default,310186NR,Bob Ross,default,default
default,310155BM,John smith,default,default
default,310197BK,Kim Possible,default,default
default,310159VH,Beyonce,default,default
default,310130SY,Taylor Swift,default,default
default,310136MX,Michael Jordan,default,default
default,310186MG,Matthew,default,default
default,310126ZZ,Yeet,default,default
default,310175TU,Jessica,default,default
default,310117KS,Damon,default,default
default,310156ZO,Ajjdnvi,default,default
default,310195OS,ajdjkdji,default,default
=======
default,310192VF,holy bible,default,default
default,310117KJ,holy bible,default,default
default,310143RU,holy bible,default,default
default,310172JA,holy bible,default,default
default,310190TI,he,default,default
>>>>>>> jay
