BookID,Book Name,Genre,InStock,Book Copies,Available Status,Book Image Filepath,Book Description
310186NR,LMAO,CCCCCCCCC,5,5,1,:/resources/images/gold cats.png,CCCCCCCCC
310155BM,Hunger Games,ssssssssss,0,1,0,:/resources/images/gold cats.png,ssssssssss
310197BK,the hungey caterpillar,ssssssssssGGGGGGGGGG,3,3,1,:/resources/images/gold cats.png,ssssssssssGGGGGGGGGG
310159VH,Twilght,BBBB,4,4,1,:/resources/images/gold cats.png,BBBB
310130SY,Breaking dawn,EEEEEEEEEEEEEEE,5,5,1,:/resources/images/gold cats.png,EEEEEEEEEEEEEEE
310136MX,Eclipse,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,6,6,1,:/resources/images/gold cats.png,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
310186MG,The Holy Bible,Religion,7,7,1,:/resources/images/gold cats.png,i <3 jesus
310126ZZ,Clown hours,jjjjjjjjjjjjjjjjjjjjjjjjjjjj,8,8,1,:/resources/images/gold cats.png,jjjjjjjjjjjjjjjjjjjjjjjjjjjj
310175TU,Crying hours,kkkkkkkkkkkkkk,9,9,1,:/resources/images/gold cats.png,kkkkkkkkkkkkkk
310117KS,Dying hours,llllllllllllllllllllll,10,10,1,:/resources/images/gold cats.png,llllllllllllllllllllll
310156ZO,This is so sad,ooooooooooooooooo,11,11,1,:/resources/images/gold cats.png,ooooooooooooooooo
310195OS,Boafoonery,rrrrr,12,12,1,:/resources/images/gold cats.png,rrrrrrrrrrrrrrrrrrr
